title,category,price,rating,num_reviews,num_subscribers
Detailed Study of GST using 100 Practical Question & Answers,IT & Software,1280.0,0.0,0,1
Minimal GDPR and IT security,Finance & Accounting,1280.0,4.35,5,20
Life Coach Certification: Life Purpose & Happiness Coaching,Business,8640.0,3.82,72,3628
Retrieving Data from Oracle Database with SQL,Development,7040.0,3.68,18,1694
SAP Customer Credit and Debit Memo Processing,Lifestyle,2240.0,4.54,20,186
El pequeño curso de la inversión paciente y racional,IT & Software,8640.0,4.44,561,2203
Fostering Inclusive Workplace Climates,Finance & Accounting,1920.0,4.46,9,29
Day Trading Forex 101,Business,12800.0,4.87,7,20
Master vi / vim Linux Command Line Text Editor,Development,1280.0,4.13,50,14565
Curso Completo de Excel. Do Básico ao Avançado. (LANÇAMENTO),Lifestyle,2560.0,0.0,0,2
Blue Prism Foundation Course,IT & Software,1280.0,4.43,1901,10089
New! Raise funds for your innovative business with EU grants,Finance & Accounting,9600.0,5.0,28,2233
RideShare Driving Secrets: How I Earn 28 Dollars per hour,Business,8640.0,4.58,6,120
Learn to code in Java from Scratch,Development,8640.0,4.4,16,1436
BeyondFormulas: Complete MS Excel Techniques & Modeling,Lifestyle,1280.0,4.09,256,2261
Splunk Core User Practice Test,IT & Software,1920.0,3.34,103,242
Craigslist Mastery: Comprehensive Guide to Offline Arbitrage,Finance & Accounting,1280.0,4.88,13,966
99 SCHOOL MANAGEMENT STRATEGIES,Business,1280.0,3.45,15,1506
Learn To Create An RPG Game In Unity,Development,8640.0,4.43,2884,15201
Study Skills - Improvement And Development,Lifestyle,8640.0,3.94,91,1280
【日商簿記対応・プロが教える・最速】会計・簿記の基礎知識をわかりやすく、 図・動画・グラフィックを駆使して学ぶ講座,IT & Software,8640.0,4.15,29,159
Visualizing data using Stata,Finance & Accounting,1600.0,4.51,26,2729
How to Sell on Amazon and Walmart - Go From Beginner to Pro,Business,1920.0,3.4,10,546
JAVA GUI Programming with Swing,Development,1280.0,3.58,21,2307
Microsoft Word 2019 Essentials,Lifestyle,0.0,4.18,505,7452
Pajak Pertambahan Nilai (PPN) di Indonesia,IT & Software,0.0,4.54,24,486
